system,action,ground_truth,decision,latency_ms,is_correct,is_fp,is_fn,request_id
A,search_web,True,True,364.71,True,False,False,1
A,search_web,True,True,306.05,True,False,False,2
A,search_web,True,True,212.45,True,False,False,3
A,search_web,True,True,128.62,True,False,False,4
A,search_web,True,True,355.74,True,False,False,5
A,search_web,True,True,306.51,True,False,False,6
A,search_web,True,True,335.28,True,False,False,7
A,search_web,True,True,415.96,True,False,False,8
A,search_web,True,True,159.31,True,False,False,9
A,search_web,True,True,209.77,True,False,False,10
A,search_web,True,True,269.31,True,False,False,11
A,search_web,True,True,218.97,True,False,False,12
A,search_web,True,True,274.9,True,False,False,13
A,search_web,True,True,328.22,True,False,False,14
A,search_web,True,True,168.07,True,False,False,15
A,search_web,True,True,198.16,True,False,False,16
A,search_web,True,True,379.61,True,False,False,17
A,search_web,True,True,280.57,True,False,False,18
A,search_web,True,True,166.29,True,False,False,19
A,search_web,True,True,176.36,True,False,False,20
A,search_web,True,True,355.69,True,False,False,21
A,search_web,True,True,312.97,True,False,False,22
A,search_web,True,True,299.38,True,False,False,23
A,search_web,True,True,335.37,True,False,False,24
A,search_web,True,True,239.11,True,False,False,25
A,search_web,True,True,358.53,True,False,False,26
A,search_web,True,True,412.23,True,False,False,27
A,search_web,True,True,245.71,True,False,False,28
A,search_web,True,True,288.13,True,False,False,29
A,search_web,True,True,242.88,True,False,False,30
A,search_web,True,True,223.43,True,False,False,31
A,search_web,True,True,208.48,True,False,False,32
A,search_web,True,True,305.32,True,False,False,33
A,search_web,True,True,232.37,True,False,False,34
A,search_web,True,True,288.26,True,False,False,35
A,search_web,True,True,355.21,True,False,False,36
A,search_web,True,True,244.22,True,False,False,37
A,search_web,True,True,413.0,True,False,False,38
A,search_web,True,True,228.26,True,False,False,39
A,search_web,True,True,312.65,True,False,False,40
A,search_web,True,True,285.67,True,False,False,41
A,search_web,True,True,411.27,True,False,False,42
A,search_web,True,True,353.43,True,False,False,43
A,search_web,True,True,594.36,True,False,False,44
A,search_web,True,True,335.57,True,False,False,45
A,search_web,True,True,307.37,True,False,False,46
A,search_web,True,True,266.85,True,False,False,47
A,search_web,True,True,309.98,True,False,False,48
A,search_web,True,True,64.65,True,False,False,49
A,search_web,True,True,252.39,True,False,False,50
A,search_web,True,True,270.64,True,False,False,51
A,search_web,True,True,164.09,True,False,False,52
A,search_web,True,True,267.92,True,False,False,53
A,search_web,True,True,261.86,True,False,False,54
A,search_web,True,True,467.24,True,False,False,55
A,search_web,True,True,243.57,True,False,False,56
A,search_web,True,True,379.22,True,False,False,57
A,search_web,True,True,470.1,True,False,False,58
A,search_web,True,True,217.52,True,False,False,59
A,search_web,True,True,202.59,True,False,False,60
A,read_file,True,True,146.83,True,False,False,61
A,read_file,True,True,257.57,True,False,False,62
A,read_file,True,True,287.16,True,False,False,63
A,read_file,True,True,310.59,True,False,False,64
A,read_file,True,True,332.03,True,False,False,65
A,read_file,True,True,229.27,True,False,False,66
A,read_file,True,True,330.19,True,False,False,67
A,read_file,True,True,282.82,True,False,False,68
A,read_file,True,True,304.98,True,False,False,69
A,read_file,True,True,145.38,True,False,False,70
A,read_file,True,True,229.29,True,False,False,71
A,read_file,True,True,273.74,True,False,False,72
A,read_file,True,True,321.05,True,False,False,73
A,read_file,True,True,401.42,True,False,False,74
A,read_file,True,True,186.37,True,False,False,75
A,read_file,True,True,560.95,True,False,False,76
A,read_file,True,True,250.58,True,False,False,77
A,read_file,True,True,290.07,True,False,False,78
A,read_file,True,True,240.91,True,False,False,79
A,read_file,True,True,261.47,True,False,False,80
A,read_file,True,True,251.88,True,False,False,81
A,read_file,True,True,248.44,True,False,False,82
A,read_file,True,True,353.56,True,False,False,83
A,read_file,True,True,322.94,True,False,False,84
A,read_file,True,True,433.86,True,False,False,85
A,read_file,True,True,447.24,True,False,False,86
A,read_file,True,True,329.47,True,False,False,87
A,read_file,True,True,139.02,True,False,False,88
A,read_file,True,True,211.16,True,False,False,89
A,read_file,True,True,333.78,True,False,False,90
A,read_file,True,True,177.65,True,False,False,91
A,read_file,True,True,70.42,True,False,False,92
A,read_file,True,True,201.86,True,False,False,93
A,read_file,True,True,443.2,True,False,False,94
A,read_file,True,True,207.63,True,False,False,95
A,read_file,True,True,324.23,True,False,False,96
A,read_file,True,True,379.37,True,False,False,97
A,read_file,True,True,250.85,True,False,False,98
A,read_file,True,True,613.08,True,False,False,99
A,read_file,True,True,399.65,True,False,False,100
